1,0
0.970735037,0.006957334
0.827001217,0.037670721
0.718162306,0.057523444
0.645145238,0.069236874
0.594214059,0.076581899
0.556034496,0.081596983
0.525104327,0.085321415
0.498009666,0.08831321
0.472294292,0.090899399
0.445688971,0.093293704
0.415296165,0.095646302
0.376085524,0.098009544
0.31744892,0.099893373
0.224240622,0.097603785
0.120713746,0.083299302
0.053080212,0.060766169
0.021123399,0.04033535
0.008047512,0.025597674
0.002994597,0.015866768
0.001084184,0.009638992
0.000367806,0.005647639
0.0001,0.002956396
0,0
0.0001,-0.002956396
0.000367806,-0.005647639
0.001084184,-0.009638992
0.002994597,-0.015866768
0.008047512,-0.025597674
0.021123399,-0.04033535
0.053080212,-0.060766169
0.120713746,-0.083299302
0.224240622,-0.097603785
0.31744892,-0.099893373
0.376085524,-0.098009544
0.415296165,-0.095646302
0.445688971,-0.093293704
0.472294292,-0.090899399
0.498009666,-0.08831321
0.525104327,-0.085321415
0.556034496,-0.081596983
0.594214059,-0.076581899
0.645145238,-0.069236874
0.718162306,-0.057523444
0.827001217,-0.037670721
0.970735037,-0.006957334
1,0